Team,Played,Won,Lost,Points
Smart Squash 1,7,5,2,30
X-Alpha 4,7,5,2,30
Happy Squash 3,7,4,3,24
TNG 1,7,4,3,22
Vitality Squash 1,7,3,4,18
Fusion Squash Club 2,7,0,7,2
