Team Name,Home,Average Home Score,Average Away Score,home_away_diff
SKCSC M4,Masters - Cornwall Street Squash Centre,4.5,2.1666666666666665,2.3333333333333335
Bolton,Masters - Harbour Road Sports Centre,2.0,0.0,2.0
United Services Recreation Club M4,United Services Recreation Club,3.0,1.5,1.5
Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club,1.25,0.0,1.25
Hong Kong Club Blue,The Hong Kong Club,2.4,1.25,1.15
Hong Kong Football Club M4B,Hong Kong Football Club,3.3333333333333335,3.2,0.1333333333333333
WAKO,Masters - Harbour Road Sports Centre,3.0,3.2,-0.20000000000000018
Kowloon Cricket Club M4,Kowloon Cricket Club,2.3333333333333335,3.0,-0.6666666666666665
Hong Kong Football Club M4A,Hong Kong Football Club,3.0,4.333333333333333,-1.333333333333333
Hong Kong Cricket Club M4,Hong Kong Cricket Club,1.75,3.25,-1.5
