Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club M1B,100.0,100.0,100.0,100.0,12
Hong Kong Football Club M1A,40.0,80.0,100.0,73.33333333333333,13
Hong Kong Cricket Club M1A,75.0,100.0,25.0,66.66666666666667,12
Hong Kong Cricket Club M1B,50.0,80.0,0.0,43.333333333333336,14
Squashathon M+,20.0,20.0,20.0,20.0,15
