Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 8A,14,11,3,56,45,25,0,0,0,0
Kowloon Cricket Club 8,14,10,4,55,45,25,0,1,0,0
Hong Kong Cricket Club 3,14,10,4,53,43,27,1,0,0,0
Global Squash 1,15,7,8,49,42,33,0,1,0,0
United Services Recreation Club 2,14,7,7,44,37,33,0,1,0,0
Sha Tin Squash Rackets Club 2,15,4,11,35,31,44,0,1,0,0
Physical Chess 2,13,7,6,34,27,38,0,0,0,0
Hong Kong Cricket Club 4,13,5,8,34,29,36,0,0,0,0
Hong Kong Football Club 8B,14,2,12,18,16,54,3,0,0,0
