Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 19,22,18,4,95,77,33,1,8,0,0
TNG 3,22,19,3,94,76,34,1,4,0,1
SocGen Squash,22,16,6,91,75,35,6,10,0,1
Hong Kong International School D19,22,15,7,87,72,38,1,10,0,1
Hong Kong Football Club 19,22,15,7,86,72,38,3,10,1,2
Squashathon 2,22,10,12,59,49,61,1,6,0,0
X-Alpha 6,22,10,12,53,44,66,23,3,1,2
The 8 Virtues,22,7,15,46,44,66,16,2,5,0
8 Virtues + 1,22,6,16,46,44,66,12,9,4,0
Sha Tin Squash Rackets Club 8,22,6,16,44,38,72,19,9,0,5
RELAY 2,22,6,16,43,37,73,7,22,0,0
United Services Recreation Club 4,22,4,18,35,32,78,13,10,1,0
