Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 4,17,17,0,96,79,6,0,11,0,0
Fusion Squash Club 2,17,12,5,75,63,22,4,10,0,0
Vitality Squash 2,17,11,6,60,49,36,2,16,0,0
Happy Squash 3,17,8,9,50,42,43,3,13,0,0
i-Mask Advance Squash Club 8,17,8,9,45,37,48,15,18,0,0
Smart Squash 2,17,7,10,43,36,49,9,17,0,0
Friend Club 6,17,2,15,21,19,66,19,1,0,0
i-Mask Advance Squash Club 7,17,3,14,18,15,70,38,4,0,0
