Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club L3B,15,11,4,50,39,21,0,0,0,0
Hong Kong Football Club L3A,15,10,5,48,38,22,0,1,0,0
Hong Kong Cricket Club Rockettes,15,9,6,46,37,23,0,7,0,0
JESSICA Smashin' Mochi,15,11,4,44,33,27,0,0,0,0
Hong Kong Football Club L3C,16,6,10,38,32,32,0,1,0,1
Physical Chess Ladies,15,4,11,27,23,37,10,0,0,0
The Squash Club Ladies,15,2,13,11,10,50,1,2,1,0
