Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 1,22,20,2,111,91,19,0,3,0,0
Hong Kong Football Club 7B,22,18,4,101,83,27,2,11,0,0
Hong Kong Football Club 7A,22,17,5,96,79,31,4,6,0,0
Kowloon Cricket Club 7,22,14,8,80,66,44,1,5,0,0
Twister 1,22,11,11,65,60,50,1,6,0,0
X-Alpha 3,22,10,12,63,55,55,7,6,2,0
The Squash Club 1,22,9,13,63,54,56,0,4,0,0
Happy Squash 2,22,10,12,61,51,59,2,11,0,2
Friend Club 2,22,7,15,48,41,69,8,1,0,0
i-Mask Advance Squash Club 2,22,8,14,42,34,76,19,5,0,0
Fusion Squash Club 1,22,5,17,29,24,86,15,0,0,0
Hong Kong Racketlon Association 1,22,3,19,25,22,88,1,2,0,0
