Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 18,22,22,0,110,88,22,0,12,0,5
Sha Tin Squash Rackets Club 7,22,16,6,95,79,31,0,21,0,1
Hong Kong Football Club 18,22,14,8,84,70,40,17,7,0,0
Kowloon Cricket Club 18,22,14,8,82,69,41,4,19,1,6
Ladies Recreation Club Div 18,22,13,9,80,67,43,1,13,0,2
North District Sports Association 3,22,10,12,74,64,46,0,16,0,1
Physical Chess 5,22,12,10,62,56,54,6,17,6,0
Hong Kong Cricket Club 8,22,8,14,53,45,65,19,9,0,12
Sky Fighter,22,9,13,51,42,68,44,2,0,0
Vitality Squash 3,22,6,16,39,36,74,29,16,3,1
Fusion Squash Club 3,22,4,18,26,24,86,27,6,2,0
Elite Team,22,4,18,3,20,90,4,13,17,1
