Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M1B,13,12,1,49,37,15,0,0,0,0
Hong Kong Football Club M1A,14,10,4,48,38,18,0,0,0,0
Ladies Recreation Club M1,13,6,7,33,27,25,0,0,0,0
Hong Kong Cricket Club M1A,13,2,11,18,16,36,0,0,0,0
Hong Kong Cricket Club M1B,13,3,10,17,14,38,0,0,0,0
