Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
YLJR 2,17,16,1,87,71,14,1,10,0,0
Physical Chess 3,17,11,6,66,55,30,0,8,0,0
TNG 1,18,11,7,65,56,34,7,1,2,0
Smart Squash 1,16,11,5,63,52,28,1,11,0,0
Friend Club 4,17,4,13,29,25,60,4,12,0,0
JAVA,16,4,12,27,23,57,16,2,0,0
i-Mask Advance Squash Club 4,17,2,15,15,13,72,16,1,0,2
