Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M2C,16,15,1,75,60,20,0,0,0,0
Hong Kong Football Club M2A,16,13,3,65,52,28,0,0,0,0
United Services Recreation Club M2,16,9,7,60,51,29,0,0,0,0
Hong Kong Cricket Club M2,16,8,8,53,45,35,0,0,0,0
Old Squash Fellows,16,7,9,46,39,41,0,1,0,0
Ladies Recreation Club M2,16,7,9,44,37,43,0,0,0,0
Hong Kong Football Club M2B,16,7,9,43,36,44,0,0,0,0
Royal Hong Kong Yacht Club M2,16,6,10,36,32,48,0,0,0,0
Titlows Squash Team,16,0,16,8,8,72,1,0,0,0
