Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club L4,v,Hong Kong Football Club JSA,Hong Kong Football Club,19:00:00,"1-3(0-3,2-3,3-0,0-3)",10,12/12/2025
Hong Kong Cricket Club Rockettes,v,Hong Kong Cricket Club L4,Hong Kong Cricket Club,19:00:00,"3-1(1-3,3-0,3-0,CR)",10,12/12/2025
JESSICA Mochis,v,JESSICA L4,HK Squash Centre,19:00:00,"2-2(0-3,2-3,3-1,3-0)",10,12/12/2025
Squashathon Ladies,v,[BYE],,,,10,12/12/2025
Kwai Tsing District Squash Club L4,v,JESSICA Mochis,Yeung Uk Road Sports Centre,19:00:00,"4-0(3-0,CR,CR,CR)",11,19/12/2025
JESSICA L4,v,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,19:00:00,"4-0(CR,CR,CR,CR)",11,19/12/2025
Hong Kong Cricket Club L4,v,Hong Kong Football Club L4,Hong Kong Cricket Club,19:00:00,"2-2(1-3,3-0,1-3,3-0)",11,19/12/2025
Hong Kong Football Club JSA,v,Squashathon Ladies,Hong Kong Football Club,19:00:00,"4-0(3-0,3-0,3-0,3-0)",11,19/12/2025
The Squash Club L4,v,[BYE],,,,11,19/12/2025
Squashathon Ladies,v,Hong Kong Cricket Club L4,Cornwall Street Squash Centre,19:00:00,"4-0(CR,CR,CR,CR)",12,09/01/2026
Hong Kong Football Club L4,v,JESSICA L4,Hong Kong Football Club,19:00:00,"0-4(0-3,0-3,1-3,CR)",12,09/01/2026
Hong Kong Cricket Club Rockettes,v,Kwai Tsing District Squash Club L4,Hong Kong Cricket Club,19:00:00,"1-3(0-3,3-1,0-3,CR)",12,09/01/2026
JESSICA Mochis,v,The Squash Club L4,HK Squash Centre,19:00:00,"4-0(3-1,3-0,3-0,3-0)",12,09/01/2026
Hong Kong Football Club JSA,v,[BYE],,,,12,09/01/2026
The Squash Club L4,v,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,19:00:00,"4-0(3-0,3-0,3-0,CR)",13,16/01/2026
Kwai Tsing District Squash Club L4,v,Hong Kong Football Club L4,Yeung Uk Road Sports Centre,19:00:00,,13,16/01/2026
JESSICA L4,v,Squashathon Ladies,HK Squash Centre,19:00:00,"4-0(3-2,3-0,3-0,3-0)",13,16/01/2026
Hong Kong Cricket Club L4,v,Hong Kong Football Club JSA,Hong Kong Cricket Club,19:00:00,"1-3(3-1,0-3,0-3,0-3)",13,16/01/2026
JESSICA Mochis,v,[BYE],,,,13,16/01/2026
Hong Kong Football Club JSA,v,JESSICA L4,Hong Kong Football Club,19:00:00,"2-2(1-3,3-0,0-3,3-0)",14,23/01/2026
Kwai Tsing District Squash Club L4,v,Squashathon Ladies,HK Squash Centre,19:00:00,"4-0(3-1,3-0,3-2,3-1)",14,23/01/2026
Hong Kong Football Club L4,v,The Squash Club L4,Hong Kong Football Club,19:00:00,"1-3(2-3,0-3,3-0,0-3)",14,23/01/2026
Hong Kong Cricket Club Rockettes,v,JESSICA Mochis,Hong Kong Cricket Club,19:00:00,"2-2(3-0,3-2,0-3,0-3)",14,23/01/2026
Hong Kong Cricket Club L4,v,[BYE],,,,14,23/01/2026
JESSICA Mochis,v,Hong Kong Football Club L4,HK Squash Centre,19:00:00,"4-0(3-1,3-0,3-0,3-0)",15,30/01/2026
The Squash Club L4,v,Squashathon Ladies,Cornwall Street Squash Centre,19:00:00,"2-2(1-3,2-3,3-1,3-0)",15,30/01/2026
Kwai Tsing District Squash Club L4,v,Hong Kong Football Club JSA,HK Squash Centre,19:00:00,"0-4(0-3,0-3,0-3,0-3)",15,30/01/2026
JESSICA L4,v,Hong Kong Cricket Club L4,HK Squash Centre,19:00:00,"1-3(3-1,2-3,0-3,0-3)",15,30/01/2026
Hong Kong Cricket Club Rockettes,v,[BYE],,,,15,30/01/2026
Kwai Tsing District Squash Club L4,v,Hong Kong Cricket Club L4,Yeung Uk Road Sports Centre,19:00:00,"4-0(CR,CR,CR,CR)",16,06/02/2026
Hong Kong Football Club JSA,v,The Squash Club L4,Hong Kong Football Club,19:00:00,"0-4(1-3,2-3,CR,CR)",16,06/02/2026
Squashathon Ladies,v,JESSICA Mochis,Cornwall Street Squash Centre,19:00:00,"1-3(3-0,0-3,0-3,0-3)",16,06/02/2026
Hong Kong Football Club L4,v,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19:00:00,"2-2(0-3,3-0,3-0,1-3)",16,06/02/2026
JESSICA L4,v,[BYE],,,,16,06/02/2026
Hong Kong Cricket Club Rockettes,v,Squashathon Ladies,Hong Kong Cricket Club,19:00:00,"4-0(3-0,3-0,3-0,CR)",17,13/02/2026
JESSICA Mochis,v,Hong Kong Football Club JSA,HK Squash Centre,19:00:00,"4-0(CR,CR,CR,CR)",17,13/02/2026
The Squash Club L4,v,Hong Kong Cricket Club L4,Pei Ho Street Sports Centre,19:00:00,"4-0(CR,CR,CR,CR)",17,13/02/2026
Kwai Tsing District Squash Club L4,v,JESSICA L4,Yeung Uk Road Sports Centre,19:00:00,"1-3(0-3,0-3,1-3,3-0)",17,13/02/2026
Hong Kong Football Club L4,v,[BYE],,,,17,13/02/2026
JESSICA L4,v,The Squash Club L4,HK Squash Centre,19:00:00,,18,06/03/2026
JESSICA Mochis,v,Hong Kong Cricket Club L4,HK Squash Centre,19:00:00,,18,06/03/2026
Hong Kong Football Club JSA,v,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19:00:00,,18,06/03/2026
Squashathon Ladies,v,Hong Kong Football Club L4,Cornwall Street Squash Centre,19:00:00,,18,06/03/2026
Kwai Tsing District Squash Club L4,v,[BYE],,,,18,06/03/2026
