Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,18,17,1,86,69,21
South China Athletic Association,18,15,3,78,63,27
Alpha CUHK,18,13,5,78,65,25
Sea Bear,18,12,6,71,59,31
Hong Kong Football Club 12A,18,13,5,67,54,36
Winter Warriors,18,11,7,67,56,34
ZOMA,18,6,12,43,37,53
Star River 2,18,6,12,41,35,55
Hong Kong Football Club 12B,18,6,12,40,35,55
Hong Kong Racketlon Assoication 2,18,5,13,32,28,62
CSD Squash Team,18,2,16,20,20,70
Latecomers,18,2,16,17,19,71
