Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L2,17,16,1,70,54,14
Hong Kong Football Club L2B,17,14,3,61,47,21
JESSICA L2,17,9,8,54,45,23
Hong Kong Football Club L2A,18,6,12,39,33,39
Hong Kong Cricket Club L2,18,3,15,18,15,57
Hong Kong Football Club L2C,17,4,13,16,14,54
