Team,Most Games,Most Wins,Highest Win Percentage
Friend Club 3,"Chan Siu Kwan, Sze James Wang Cho (12)","Sze James Wang Cho, Choi Kenny Wing Kin (5)",Choi Kenny Wing Kin (62.5%)
Global Squash 1,"Chan Ming Yan Calvin, Mak Chun Wai (12)","Chan Ming Yan Calvin, Ching Andus Kin Nok (7)",Ching Andus Kin Nok (100.0%)
Hong Kong Cricket Club 4,"Janes Gareth, Achouch Frank, Ternes Daniel, Hoogendijk Mark (7)","Janes Gareth, Achouch Jules Simon (6)",Achouch Jules Simon (100.0%)
Hong Kong Football Club 6A,Derouet Yann (11),Hathiramani Dinesh (6),Ng Adrian (71.4%)
Hong Kong Football Club 6B,Yeung Yurisa (10),Yeung Yurisa (6),Tjia Jonathan (71.4%)
Hong Kong Football Club 6C,Tanner Julian (11),"Tanner Julian, Cheng August Huan-Chen (7)",Katsande Danai (83.3%)
Kowloon Cricket Club 6A,Cheng Tak Kwong (12),"Li Ho Sum, Cheng Tak Kwong (9)",Li Ho Sum (90.0%)
Kowloon Cricket Club 6B,Ho Yiu Wah Hendry (11),Ho Yiu Wah Hendry (10),"Lau Wai Tung, Leung Phoebe Hei Ting (100.0%)"
Social Squash Team,Raducki Stephen (12),Raducki Stephen (5),Catherine Loic (50.0%)
United Services Recreation Club 2,Chow Hester Yuk Ting (12),Chow Hester Yuk Ting (10),Chow Hester Yuk Ting (83.3%)
