Team Name,Home,Average Home Score,Average Away Score,home_away_diff
TNG 2,Cornwall Street Squash Centre,4.333333333333333,3.0,1.333333333333333
North District Sports Association 2,Cornwall Street Squash Centre,2.8333333333333335,2.5,0.3333333333333335
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,3.3333333333333335,3.0,0.3333333333333335
TNG 1,Cornwall Street Squash Centre,4.0,3.6666666666666665,0.3333333333333335
Star River 3,Cornwall Street Squash Centre,1.6,1.3333333333333333,0.26666666666666683
Physical Chess 4,Cornwall Street Squash Centre,1.6666666666666667,1.6,0.06666666666666665
Squashathon PLZ,Cornwall Street Squash Centre,2.6666666666666665,2.6,0.06666666666666643
M&M Squash,Cornwall Street Squash Centre,1.3333333333333333,1.4,-0.06666666666666665
Arctic Circle,Cornwall Street Squash Centre,3.2,3.5,-0.2999999999999998
Vitality Squash 3,HK Squash Centre,1.375,2.2,-0.8250000000000002
Bravo D13,Cornwall Street Squash Centre,2.0,3.0,-1.0
Greenfield,Cornwall Street Squash Centre,2.3333333333333335,4.0,-1.6666666666666665
