Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (12),"Aw Adrian, Bhandari Raghav, Ngo Joshua (6)",Lau Kwai Hong (83.3%)
Hong Kong Cricket Club D7B,Dickson Robert (12),Hathiramani Sahil Ajit (7),Montefiore Alexander (100.0%)
Hong Kong Football Club 7A,Yeung Yurisa (13),Yeung Yurisa (9),Wong Yu San (100.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (15),"Yeung Himmy Cheuk Him, Li Samuel Kwok Sing (10)",Li Samuel Kwok Sing (100.0%)
Kinetic 1,Lin Charles Lan Kay (13),Gibert Kai Shaun Otto (6),Gibert Kai Shaun Otto (66.7%)
Physical Chess 2,Dai Kwun San Harry (12),Wong Wai Lap (10),Lee Darren Ching Him (100.0%)
Social Squash Team,Catherine Loic (12),"Catherine Loic, Adjemian Nicolas (6)",Toernell Henrik (62.5%)
Thunder 1,"Wong Hui Sing, Siu Chen Dong (11)",Wong Hui Sing (7),Wong Hui Sing (63.6%)
UST,Wong Chi Hang Frankie (9),Wong Chi Hang Frankie (7),Chan Wan Fei (85.7%)
Xavier,"Tam Kai Chung Hades, Chan Keiko Tsun Ling, Chan Ping Him Kevin (14)","Liu Chun Hin Heron, Chan Keiko Tsun Ling (9)",Liu Chun Hin Heron (69.2%)
i-Mask Advance Squash Club 1,Li Chi Hei (15),Li Chi Hei (13),Leung Ka Long (100.0%)
