Team,Most Games,Most Wins,Highest Win Percentage
BOSS,"Li Kelvin Hon Hun, Fong Wai Kuen (13)",Luk Raymond Yiu Fai (6),Luk Raymond Yiu Fai (60.0%)
Centre Squash,Bedouillat Vincent (14),Chevaux Alexander (11),Chevaux Alexander (91.7%)
HKPF Squash Team,Ko Toby Ho Yin (15),Ko Toby Ho Yin (11),Ko Toby Ho Yin (73.3%)
Hong Kong Football Club 9,Lee Lawrence Chi Hung (13),"Kirpalani Shaun, Murray David (9)",Kirpalani Shaun (81.8%)
Kinetic 3,"Hui Prodipto, To Felix Ka Hei (10)",Tse Wai Hong (5),Tse Wai Hong (62.5%)
Kowloon Cricket Club 9,Osmund Ronnie (14),Osmund Ronnie (9),Osmund Ronnie (64.3%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (16),Woo Heng Che Stephen (7),Wong Aaron Wan Chong (80.0%)
The Squash Club 2,Poon Ho Kar James (14),Poon Ho Kar James (14),"Yan Ka Ho, Poon Ho Kar James, Kan Ken Chun Kit, Lee Bruce Lap Tak (100.0%)"
Twister,Lee Rachel Wing Yan (15),Lee Rachel Wing Yan (13),Lau Eric Chi Wai (100.0%)
i-Mask Advance Squash Club 3,"Au Wai Lun, Mo Li Hung Calvin, Au Heung Ben (17)",Au Wai Lun (13),Au Wai Lun (76.5%)
