Team Name,Home,Average Home Score,Average Away Score,home_away_diff
BOSS,Cornwall Street Squash Centre,3.5,0.0,3.5
The Squash Club 3,Cornwall Street Squash Centre,5.0,2.0,3.0
Tuen Mun Squash Club,Cornwall Street Squash Centre,4.0,2.0,2.0
i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,2.0,0.0,2.0
Invader Squash,Harbour Road Sports Centre,2.0,1.0,1.0
Global Squash 2,Harbour Road Sports Centre,3.0,2.3333333333333335,0.6666666666666665
Kinetic 3,HK Squash Centre,3.0,3.0,0.0
Star River 1,Cornwall Street Squash Centre,3.0,3.0,0.0
HKCC Tuesday Night Rockers,Hong Kong Cricket Club,1.0,1.3333333333333333,-0.33333333333333326
7NT,Cornwall Street Squash Centre,0.0,2.0,-2.0
Sha Tin 5,Cornwall Street Squash Centre,0.0,4.0,-4.0
