Team,Most Games,Most Wins,Highest Win Percentage
Alpha CUHK, (nan), (nan), (nan%)
CSD Squash Team, (nan), (nan), (nan%)
Hong Kong Football Club 12A, (nan), (nan), (nan%)
Hong Kong Football Club 12B, (nan), (nan), (nan%)
Hong Kong Racketlon Assoication 2, (nan), (nan), (nan%)
Latecomers, (nan), (nan), (nan%)
North District Sports Association 1, (nan), (nan), (nan%)
Sea Bear, (nan), (nan), (nan%)
South China Athletic Association, (nan), (nan), (nan%)
Star River 2, (nan), (nan), (nan%)
Winter Warriors, (nan), (nan), (nan%)
ZOMA, (nan), (nan), (nan%)
