Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 12,4,4,0,22,18,2,0,0,0,0
Hong Kong Football Club 12B,5,3,2,17,14,11,0,0,0,0
Hong Kong Football Club 12A,5,3,2,16,13,12,0,3,0,0
Winter Warriors,4,3,1,16,13,7,0,1,0,0
Star River 1,4,3,1,16,13,7,0,0,0,0
Global Squash 2,4,2,2,12,10,10,0,0,0,0
Physical Chess 4,4,2,2,11,9,11,0,0,0,0
Sha Tin 5,3,1,2,8,7,8,0,0,0,0
Latecomers,4,1,3,7,6,14,1,3,0,0
CSD Squash Team,4,0,4,7,7,13,6,0,0,0
SKCSC Div 12,5,1,4,6,5,20,0,0,0,0
