Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,5,4,1,23,19,6,0,0,0,0
Twister,5,4,1,22,18,7,0,0,0,0
The Hong Kong Jockey Club Div 9,5,4,1,18,14,11,0,0,0,0
Hong Kong Football Club 9,5,3,2,18,15,10,0,0,0,0
Centre Squash,5,4,1,17,13,12,0,1,0,0
Kowloon Cricket Club 9,5,2,3,12,10,15,0,0,0,0
Kinetic 3,5,1,4,10,9,16,0,0,0,0
BOSS,4,1,3,9,8,12,1,0,0,0
i-Mask Advance Squash Club 3,4,1,3,9,8,12,0,0,0,0
HKPF Squash Team,5,0,5,6,6,19,0,0,0,0
