Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 2,5,5,0,23,18,7,0,0,0,0
Royal Hong Kong Yacht Club Div 14,4,3,1,20,17,3,0,0,0,0
Physical Chess 5,5,3,2,18,15,10,0,0,0,0
The Squash Club 4,4,3,1,18,15,5,0,5,0,1
8 Virtues + 1,5,3,2,16,14,11,0,1,1,5
Ladies Recreation Club Div 14,5,2,3,13,12,13,3,0,1,1
TKO Junior 1,5,2,3,13,11,14,0,0,0,0
RELAY 2,5,2,3,13,11,14,0,2,0,0
Hong Kong Football Club 14,5,2,3,12,10,15,3,0,0,0
Squash-On,5,2,3,11,9,16,2,0,0,0
TNG 3,4,1,3,3,6,14,0,0,4,0
Fusion Squash Club 4,4,0,4,1,2,18,0,0,1,0
