Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M4A,5,4,1,21,17,8,0,0,0,0
WAKO,5,4,1,19,15,10,0,0,0,0
SKCSC M4,4,3,1,15,12,8,0,0,0,0
Kowloon Cricket Club M4,5,2,3,15,13,12,0,0,0,0
Hong Kong Club Blue,4,2,2,12,10,10,0,0,0,0
Hong Kong Football Club M4B,4,2,2,12,10,10,0,0,0,0
Royal Hong Kong Yacht Club M4,4,2,2,11,9,11,0,0,0,0
Hong Kong Cricket Club M4,4,2,2,10,8,12,0,0,0,0
Bolton,5,1,4,10,9,16,0,0,0,0
United Services Recreation Club M4,4,0,4,7,7,13,0,0,0,0
