Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 7A,5,4,1,19,15,10,0,0,0,0
Thunder 1,5,4,1,19,15,10,0,2,0,0
Hong Kong Football Club 7B,5,3,2,19,16,9,0,1,0,0
Physical Chess 2,4,4,0,18,14,6,0,1,0,0
Hong Kong Cricket Club D7A,4,3,1,14,11,9,0,1,0,0
i-Mask Advance Squash Club 1,5,2,3,14,12,13,1,0,0,0
Hong Kong Cricket Club D7B,5,2,3,12,10,15,0,0,0,0
Xavier,4,1,3,10,9,11,4,0,0,0
UST,4,1,3,10,9,11,1,0,0,0
Social Squash Team,4,1,3,9,8,12,0,0,0,0
Kinetic 1,5,0,5,6,6,19,0,1,0,0
