Team,Most Games,Most Wins,Highest Win Percentage
Banbil,"Foo Chun Huey, Au Ming Chung Sampson (12)","Foo Chun Huey, Leung Wai Kwan (6)",Leung Wai Kwan (85.7%)
Bravo D10,Wu Minyan (11),Chen Chao (3),Chen Chao (42.9%)
Hong Kong Cricket Club D10,Bernard Edwin (11),Lai Kwok Wai Wilfred (7),Bradbury Adrian (80.0%)
Kwai Tsing District Squash Club,"Tsang Yan Kiu, Wu Ka Ho, Lee Leo Chi Kin (11)",Wu Ka Ho (8),Lam Chi Chris (85.7%)
Mercury,Ho Chi Hung Eric (12),Chau Hing Bor (5),Chau Hing Bor (55.6%)
RELAY 1,Cheung Danny Yui Nam (13),Cheung Danny Yui Nam (12),Cheung Danny Yui Nam (92.3%)
Sha Tin 4,"Poon Raymond Wai Man, Lau Hok Yin, Chan Pak Lun (11)",Poon Raymond Wai Man (11),"Tsoi Keith Tsz Fung, Poon Raymond Wai Man, Wai Brian Hok Chun, Fung Wing Hing (100.0%)"
Squashathon Advance,"Fong Ming Fung, Leung Hok Sum (9)","Leung Hok Sum, Chow Ka Lun, Di Fonzo Thomas (4)",Di Fonzo Thomas (80.0%)
Thunder 2,Cheung Alan Wing Lun (12),Lee Tommy Yun Wah (8),Lee Tommy Yun Wah (100.0%)
United Services Recreation Club 3,Chu Lap Sun (13),Cheng Jonathan Yee Fung (6),Yu Chi Keung (66.7%)
i-Mask Advance Squash Club 4,Chan Connal Tak Kay (11),Tse Percy Cheung Ka (6),Tse Percy Cheung Ka (60.0%)
