Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (12),Tin Charlotte Pui Lam (11),Tin Charlotte Pui Lam (91.7%)
Fusion Squash Club 4,"Liu Riley, Wang Philbert (9)","Mei Tianle Arthur, Li Asher, Cheung Cheuk Yin Nathan (1)","Mei Tianle Arthur, Li Asher, Cheung Cheuk Yin Nathan (16.7%)"
Hong Kong Football Club 14,Wan Damien (12),"Wan Damien, Han Julian O (7)",Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (13),Chen Peak Julian (6),Chen Peak Julian (46.2%)
North District Sports Association 2,Fung Yau On (13),Fung Yau On (10),Lee Man Lok Raymond (100.0%)
Physical Chess 5,"Chan Chun Ho, Wong Ho Tong (9)",Tin Nok Lam (8),Tin Nok Lam (100.0%)
RELAY 2,"Cheng Nic, Cheung Cheuk Wai (10)","Chung Yui On Jake, Cheung Cheuk Wai (7)",Chung Yui On Jake (77.8%)
Royal Hong Kong Yacht Club Div 14,Lai Ming Wah (11),Oei Chuen Shek Joseph (9),"Ho Wai Keung, Chaudhry Ali (100.0%)"
Squash-On,Lau Hayden (13),Lau Hayden (5),Huang Xin Min (66.7%)
TKO Junior 1,Lee Man Yu (11),Jong Kwok Wai (9),Jong Kwok Wai (90.0%)
TNG 3,Ho Yiu Hei (11),Kwan Yui Tang (6),"Chiu Yuet Yi, Kwan Yui Tang (66.7%)"
The Squash Club 4,Chung Tsam Yee (13),Chung Tsam Yee (13),"Chung Tsam Yee, Ngan Joan, Hui Chi Hin (100.0%)"
