Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (11),Aw Adrian (6),Aw Adrian (85.7%)
Hong Kong Cricket Club D7B,Freeman Neil (10),"Hathiramani Sahil Ajit, Dickson Robert (5)",Hathiramani Sahil Ajit (83.3%)
Hong Kong Football Club 7A,Yeung Yurisa (11),Yeung Yurisa (8),Wong Yu San (100.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (12),"Li Samuel Kwok Sing, Yeung Himmy Cheuk Him, Au Siu Fai (7)",Li Samuel Kwok Sing (100.0%)
Kinetic 1,Lin Charles Lan Kay (9),Gibert Kai Shaun Otto (5),Gibert Kai Shaun Otto (71.4%)
Physical Chess 2,"Wong Wai Lap, Dai Kwun San Harry (10)",Wong Wai Lap (10),"Ting Long Hin Alex, Wong Wai Lap, Lee Darren Ching Him (100.0%)"
Social Squash Team,Catherine Loic (10),"Catherine Loic, Adjemian Nicolas (4)",Toernell Henrik (50.0%)
Thunder 1,"Wong Hui Sing, Siu Chen Dong (10)",Wong Hui Sing (7),Wong Hui Sing (70.0%)
UST,"Wong Chi Hang Frankie, Kwong Martin Cheuk Hin, Hung Tsz Hang (6)","Hung Wai Kwan, Wong Chi Hang Frankie, Chan Wan Fei, Kwong Martin Cheuk Hin (4)","Hung Wai Kwan, Chan Wan Fei (80.0%)"
Xavier,"Liu Chun Hin Heron, Tam Kai Chung Hades, Chan Keiko Tsun Ling, Chan Ping Him Kevin (13)","Liu Chun Hin Heron, Chan Keiko Tsun Ling (9)","Liu Chun Hin Heron, Chan Keiko Tsun Ling (69.2%)"
i-Mask Advance Squash Club 1,Li Chi Hei (12),Li Chi Hei (10),Leung Ka Long (100.0%)
