Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 6,4,4,0,19
HKIS Div 13,4,3,1,17
i-Mask Advance Squash Club 7,4,2,2,13
JSA 1,3,2,1,11
Smart Squash 2,4,2,2,10
NEXUS 3,4,2,2,9
Bravo D13,3,1,2,6
Vitality Squash 2,3,0,3,5
Smart Squash 3,3,0,3,3
