Team,Played,Won,Lost,Points
JESSICA L1,4,3,1,11
Kowloon Cricket Club L1A,3,2,1,8
Hong Kong Football Club L1,3,1,2,6
Kowloon Cricket Club L1B,3,1,2,4
Hong Kong Cricket Club L1,3,1,2,3
