Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,4,4,0,14
Hong Kong Cricket Club M1A,3,2,1,9
Hong Kong Football Club M1B,3,2,1,7
Hong Kong Cricket Club M1B,3,0,3,2
Squashathon M+,3,0,3,0
