Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,15,11,4,44,33,12
Hong Kong Football Club M1A,15,12,3,42,30,15
Hong Kong Cricket Club M1B,15,8,7,32,24,21
Hong Kong Cricket Club M1A,16,4,12,21,17,31
Ladies Recreation Club M1,15,3,12,13,10,35
