Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L4,16,14,2,56,42,6
Hong Kong Cricket Club L4,17,16,1,55,39,12
Hong Kong Football Club JSA,16,11,5,45,35,13
Hong Kong Football Club L4,16,5,11,23,18,30
JESSICA Smashin' Mochi,16,4,12,18,16,32
i-Mask Advance Squash Club L4,16,4,12,13,10,38
Electrify Squash Ladies,17,3,14,13,11,40
