Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L2,19,18,1,78,60,16
Hong Kong Football Club L2B,19,15,4,67,52,24
JESSICA L2,19,10,9,60,50,27
Hong Kong Football Club L2A,19,6,13,39,33,43
Hong Kong Football Club L2C,19,5,14,22,19,58
Hong Kong Cricket Club L2,19,3,16,18,15,61
