Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 14,6,5,1,30,25,5,0,0,0,0
North District Sports Association 2,6,6,0,28,22,8,0,0,0,0
The Squash Club 4,6,4,2,25,21,9,0,5,0,1
8 Virtues + 1,6,4,2,21,18,12,0,1,1,5
Physical Chess 5,6,3,3,19,16,14,0,0,0,0
Hong Kong Football Club 14,6,3,3,18,15,15,3,0,0,0
TKO Junior 1,6,2,4,15,13,17,0,0,0,0
Ladies Recreation Club Div 14,6,2,4,14,13,17,3,0,1,1
RELAY 2,6,2,4,14,12,18,0,2,0,0
TNG 3,6,3,3,12,14,16,0,0,4,0
Squash-On,6,2,4,11,9,21,2,0,0,0
Fusion Squash Club 4,6,0,6,1,2,28,0,0,1,0
