Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,6,6,0,32,26,4,0,3,0,0
Hong Kong Football Club 6A,6,4,2,22,18,12,0,0,0,0
Hong Kong Football Club 6B,6,4,2,21,17,13,0,0,0,0
Hong Kong Football Club 6C,6,3,3,18,15,15,0,0,0,0
Uncles,6,3,3,17,14,16,0,0,0,0
Fusion Squash Club 1,6,3,3,17,14,16,3,0,0,0
Kowloon Cricket Club 6A,5,3,2,17,14,11,0,1,0,0
Ladies Recreation Club Div 6,4,3,1,16,13,7,0,3,0,0
Global Squash 1,6,2,4,16,14,16,0,0,0,0
Hong Kong Cricket Club D6,6,1,5,10,9,21,0,0,0,0
X-Alpha 3,5,1,4,9,8,17,0,0,0,3
Electrify Squash Div 6,6,1,5,6,8,22,4,0,3,0
