Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M4A,6,5,1,26,21,9,0,0,0,0
WAKO,6,5,1,24,19,11,0,0,0,0
SKCSC M4,6,4,2,20,16,14,0,0,0,0
Hong Kong Football Club M4B,6,3,3,19,16,14,0,0,0,0
Kowloon Cricket Club M4,6,3,3,19,16,14,0,0,0,0
Hong Kong Cricket Club M4,6,3,3,18,15,15,0,0,0,0
Hong Kong Club Blue,6,3,3,18,15,15,0,0,0,0
United Services Recreation Club M4,6,1,5,14,13,17,0,0,0,0
Royal Hong Kong Yacht Club M4,6,2,4,12,10,20,0,0,0,0
Bolton,6,1,5,10,9,21,0,0,0,0
