Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,6,5,1,29,24,6,0,0,0,0
Twister,6,5,1,28,23,7,0,0,0,0
Hong Kong Football Club 9,6,4,2,24,20,10,0,0,0,0
The Hong Kong Jockey Club Div 9,6,5,1,22,17,13,0,0,0,0
Centre Squash,6,5,1,21,16,14,0,2,0,0
i-Mask Advance Squash Club 3,6,2,4,14,12,18,0,0,0,0
Kowloon Cricket Club 9,6,2,4,14,12,18,0,0,0,0
Kinetic 3,6,1,5,10,9,21,0,0,0,0
BOSS,6,1,5,10,9,21,1,0,0,0
HKPF Squash Team,6,0,6,8,8,22,1,0,0,0
