Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 4,6,6,0,31,25,5,0,1,0,0
X-Alpha 2,6,5,1,24,19,11,1,1,0,0
YLJR,6,4,2,22,18,12,1,0,0,0
TNGX,6,3,3,22,19,11,0,1,0,0
Hong Kong Football Club 4A,6,3,3,20,17,13,0,0,0,0
Sha Tin 1,5,3,2,16,13,12,0,0,0,0
The Squash Club 1,6,2,4,13,11,19,0,1,0,0
Hong Kong Cricket Club D4A,6,1,5,9,8,22,1,0,0,0
Hong Kong Football Club 4B,5,1,4,9,8,17,1,0,0,0
Hong Kong Cricket Club D4B,6,1,5,8,7,23,0,0,0,0
