Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,6,6,0,34,28,2,0,0,0,0
RELAY 1,5,5,0,27,22,3,0,0,0,0
Thunder 2,6,4,2,23,19,11,0,0,0,0
United Services Recreation Club 3,6,4,2,20,16,14,0,0,0,0
Banbil,6,3,3,17,14,16,0,0,0,0
Kwai Tsing District Squash Club,5,3,2,17,14,11,0,0,0,0
Hong Kong Cricket Club D10,5,2,3,14,12,13,0,1,0,0
i-Mask Advance Squash Club 4,5,1,4,9,8,17,1,0,0,0
Squashathon Advance,5,1,4,7,6,19,0,0,0,0
Mercury,5,0,5,6,6,19,0,0,0,0
Bravo D10,4,0,4,0,0,20,0,0,0,0
