Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
HEAD SHATIN 2,10,9,1,44,0,2,0,0,36,14
Hong Kong Football Club 6A,9,8,1,43,0,0,0,0,35,10
Hong Kong Football Club 6B,9,8,1,43,0,1,0,0,35,10
Hong Kong Cricket Club 6,10,7,3,37,0,3,0,0,30,20
Andy and Friends 1,10,6,4,33,0,0,0,0,27,23
Global 1,10,4,6,27,0,2,0,0,23,27
Kinetic 1,10,2,8,23,5,0,0,0,21,29
Ricci Hall Old Boys' Association,10,2,8,17,4,0,0,0,15,35
Twister 1,10,2,8,14,0,1,0,0,12,38
HKU 1,10,1,9,12,0,0,0,0,11,39
