Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Physical Chess 2,9,9,0,43,0,0,0,0,34,11
Honey Badger 1,9,8,1,42,1,0,0,0,34,11
PERRIER SERGIO TACCHINI KCC 7,9,7,2,35,0,0,0,0,28,17
Andy and Friends 2,9,6,3,31,0,0,0,0,25,20
KTSC,9,5,4,28,0,0,0,0,24,21
HKU 2,9,4,5,26,0,1,0,0,22,23
Castlers & Friends,9,3,6,21,0,0,0,0,18,27
Tuen Mun Squash Club 1,9,3,6,21,1,0,0,0,18,27
Martinis,9,3,6,19,0,0,0,0,16,29
Hong Kong Football Club 11,9,2,7,17,0,1,0,0,15,30
TFST,10,0,10,16,0,0,0,0,16,34
