Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Cricket Club L2A,9,9,0,35,1,1,0,0,26,10
Hong Kong Football Club L2B,8,6,2,31,0,0,0,0,25,7
Hong Kong Football Club L2C,7,3,4,17,0,1,0,2,14,14
Hong Kong Football Club L2A,7,3,4,16,0,0,0,1,13,15
United,7,2,4,10,2,1,2,0,9,19
Hong Kong Cricket Club L2B,7,1,5,9,0,0,1,1,9,19
Hong Kong Cricket Club L2C,7,1,6,8,0,0,1,0,8,20
