Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Global 2,10,9,1,46,0,1,1,0,38,12
Hong Kong Football Club 16,10,8,2,44,0,1,0,0,36,14
Hong Kong Racketlon Association,10,8,2,44,0,0,0,1,36,14
Alpha CUHK 2,10,8,2,43,0,5,0,0,35,15
South China Athletic Association,10,7,3,42,0,0,0,0,35,15
Winter Warriors,10,7,3,39,1,5,0,0,32,18
Airporterz,10,4,6,31,0,0,0,0,27,23
CSD,10,3,7,19,2,0,0,0,16,34
Mass,10,3,7,18,0,0,0,0,15,35
Star River 4,10,2,8,12,0,0,0,0,10,40
Latecomers,10,0,10,11,2,0,0,0,11,39
Progressive Squash Club,10,1,9,10,7,0,0,0,9,41
