Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Mercury,11,8,3,45,0,0,0,0,37,18
Hong Kong Cricket Club 12,10,7,3,42,0,2,0,0,35,15
Warriors 2,9,8,1,39,0,3,0,0,31,14
i-Mask Advance Squash Club 7,9,7,2,37,0,1,0,0,30,15
EdUHK,9,4,5,27,2,1,0,0,24,21
The Squash Club,10,3,7,26,3,5,0,0,23,27
A Squash 2,10,3,7,17,2,4,0,0,14,36
Friend Club 4,10,2,8,12,2,1,0,0,10,40
Spark 3,8,1,7,12,8,0,0,0,11,29
