Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club 18,9,8,1,44,5,10,0,0,36,9
United Services Recreation Club 4,9,7,2,39,0,3,0,5,32,13
Spark 4,9,7,2,38,1,2,0,0,31,13
Yuen Long JR 3,9,6,3,37,0,6,0,0,31,14
HEAD SHATIN 6,8,6,2,33,0,7,0,1,27,13
Skyers,9,5,4,33,1,5,1,0,29,16
i-Mask Advance Squash Club 12,9,4,5,27,0,3,0,0,23,22
HDSC,8,3,5,15,0,4,0,0,11,28
TNG 3,9,1,8,10,2,1,0,0,9,36
Relay 2,8,1,7,6,12,1,0,0,5,35
Smart Squash 4,9,0,9,0,21,0,5,0,5,40
