Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
United Services Recreation Club 2,11,10,1,50,0,4,0,0,40,15
Yuen Long JR 1,11,8,3,48,0,2,0,0,40,15
Hong Kong Football Club 7,10,6,4,38,0,3,0,0,32,18
Spark 2,11,5,6,32,13,0,0,0,27,28
Warriors 1,10,6,4,30,0,1,0,0,25,25
i-Mask Advance Squash Club 4,11,5,6,28,1,0,0,0,23,32
Neptune,11,4,7,27,1,5,0,0,23,32
i-Mask Advance Squash Club 3,11,5,6,24,0,0,0,0,20,35
Squashathon Zero,11,2,9,22,0,0,0,0,20,35
Yuen Long Squash Club,9,2,7,17,0,0,0,0,15,30
