Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club M3C,11,10,1,51,0,0,0,0,41,14
Howards Folly Wine LRC M3,11,9,2,47,0,0,0,0,38,17
American Club - Yacht Club,11,6,5,41,0,0,0,0,35,20
Phoenix,11,6,5,38,0,0,0,0,32,23
United Services Recreation Club M3,11,7,4,37,0,0,0,0,30,25
Hong Kong Cricket Club M3,11,7,4,35,0,0,0,0,28,27
Hong Kong Football Club M3B,11,6,5,32,0,0,0,0,26,29
Discovery Bay,11,5,6,32,0,0,0,0,27,28
Jaws Master,11,4,7,29,0,0,0,0,25,30
The Hong Kong Jockey Club M3,11,4,7,27,0,0,0,0,23,32
Hong Kong Football Club M3A,11,2,9,19,0,0,0,0,17,38
Titlows Master,11,0,11,8,0,0,0,0,8,47
