Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Cricket Club Rockettes,11,10,1,39,1,1,0,1,29,15
Hong Kong Football Club L3A,11,7,4,36,1,1,0,1,29,15
Perrier Ladies A,11,6,5,30,0,1,0,2,24,20
Perrier Ladies B,11,5,6,27,0,1,0,0,22,22
Hong Kong Football Club L3B,11,4,7,20,0,3,0,0,16,28
Hong Kong Cricket Club L3,11,1,10,9,5,0,4,0,12,32
