Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (10),Tin Charlotte Pui Lam (9),Tin Charlotte Pui Lam (90.0%)
Fusion Squash Club 4,"Liu Riley, Wang Philbert (8)","Mei Tianle Arthur, Li Asher, Cheung Cheuk Yin Nathan (1)",Cheung Cheuk Yin Nathan (20.0%)
Hong Kong Football Club 14,Wan Damien (10),Han Julian O (7),Han Julian O (77.8%)
Ladies Recreation Club Div 14,Chen Peak Julian (10),Chen Peak Julian (5),"Chen Peak Julian, Lui-Schwille Tristan Alexander Yifeng (50.0%)"
North District Sports Association 2,Fung Yau On (10),Fung Yau On (7),Lee Man Lok Raymond (100.0%)
Physical Chess 5,"Chan Chun Ho, Tin Nok Lam, Chan Cheuk Nam (7)",Tin Nok Lam (7),Tin Nok Lam (100.0%)
RELAY 2,Cheng Nic (9),"Cheng Tsz Long, Chung Yui On Jake, Cheung Cheuk Wai (5)","Cheng Tsz Long, Chung Yui On Jake (83.3%)"
Royal Hong Kong Yacht Club Div 14,Lai Ming Wah (9),Oei Chuen Shek Joseph (7),Ho Wai Keung (100.0%)
Squash-On,Lau Hayden (9),Lau Hayden (4),"Lee Tsak Ying, Carol (50.0%)"
TKO Junior 1,Lee Man Yu (9),Jong Kwok Wai (7),Jong Kwok Wai (87.5%)
TNG 3,Ho Yiu Hei (8),"Kwan Yui Tang, Ho Yiu Hei (4)",Kwan Yui Tang (66.7%)
The Squash Club 4,Chung Tsam Yee (10),Chung Tsam Yee (10),"Chung Tsam Yee, Ngan Joan (100.0%)"
