Team,Most Games,Most Wins,Highest Win Percentage
Bolton,Wright Martin (10),"Li Wilson Wai Shun, Wright Martin (4)",Li Wilson Wai Shun (80.0%)
Hong Kong Club Blue,"Brien Peter Wilhelm Hubert, Lo Yue Hin, McLennan Justin (6)",McLennan Justin (3),McLennan Justin (50.0%)
Hong Kong Cricket Club M4,Poole-Wilson Michael (10),Poole-Wilson Michael (6),Bradbury Adrian (62.5%)
Hong Kong Football Club M4A,"Ford Anthony, Chan Christine Yik Tat (8)",Chan Christine Yik Tat (7),Chan Christine Yik Tat (87.5%)
Hong Kong Football Club M4B,"Dansanghani Rahul, Ho Kwan Lun (7)",Dansanghani Rahul (6),Dansanghani Rahul (85.7%)
Kowloon Cricket Club M4,Tsang Wai Kit Paul (9),Choy Yuk Kwong Donnie (7),Choy Yuk Kwong Donnie (87.5%)
Royal Hong Kong Yacht Club M4,Leung Chi Wang Christopher (8),"Leung Chi Wang Christopher, Tse Ray, Adams David, Oei Chuen Shek Joseph, Ho Wai Keung (2)",Ho Wai Keung (40.0%)
SKCSC M4,Mong Hoi Ching Norman (11),Mong Hoi Ching Norman (9),"Kan Ken Chun Kit, Tam Rony Kwok Ki (100.0%)"
United Services Recreation Club M4,"Lai Kwok Wai Wilfred, Yu Chi Keung (11)","Lai Kwok Wai Wilfred, Chu Lap Sun (5)","Yam Ken Luen Kai, Wong Rames Wang Lung (80.0%)"
WAKO,Yiu Sai Ngoi (10),Mok Sui Kei (8),"Mok Sui Kei, Gaffney Noel Patrick (100.0%)"
