Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
HKIS Div 15,v,United Services Recreation Club 4,HK Squash Centre,17:00,,14,01/03/2025
Hong Kong Cricket Club 8,v,Physical Chess 5,Hong Kong Cricket Club,17:00,,14,01/03/2025
Royal Hong Kong Yacht Club Div 15,v,[BYE],,,,14,01/03/2025
United Services Recreation Club 4,v,Hong Kong Cricket Club 8,United Services Recreation Club,17:00,,15,08/03/2025
Sha Tin 7,v,HKIS Div 15,Cornwall Street Squash Centre,17:00,,15,08/03/2025
Royal Hong Kong Yacht Club Div 15,v,Squashathon One,Royal Hong Kong Yacht Club,17:00,,15,08/03/2025
Physical Chess 5,v,[BYE],,,,15,08/03/2025
HKIS Div 15,v,Royal Hong Kong Yacht Club Div 15,HK Squash Centre,17:00,,16,15/03/2025
Hong Kong Cricket Club 8,v,Sha Tin 7,Hong Kong Cricket Club,17:00,,16,15/03/2025
Physical Chess 5,v,United Services Recreation Club 4,Cornwall Street Squash Centre,17:00,,16,15/03/2025
Squashathon One,v,[BYE],,,,16,15/03/2025
Sha Tin 7,v,Physical Chess 5,Cornwall Street Squash Centre,17:00,,17,22/03/2025
Royal Hong Kong Yacht Club Div 15,v,Hong Kong Cricket Club 8,Royal Hong Kong Yacht Club,17:00,,17,22/03/2025
Squashathon One,v,HKIS Div 15,Cornwall Street Squash Centre,17:00,,17,22/03/2025
United Services Recreation Club 4,v,[BYE],,,,17,22/03/2025
Hong Kong Cricket Club 8,v,Squashathon One,Hong Kong Cricket Club,17:00,,18,29/03/2025
Physical Chess 5,v,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,17:00,,18,29/03/2025
United Services Recreation Club 4,v,Sha Tin 7,United Services Recreation Club,17:00,,18,29/03/2025
HKIS Div 15,v,[BYE],,,,18,29/03/2025
Royal Hong Kong Yacht Club Div 15,v,United Services Recreation Club 4,Royal Hong Kong Yacht Club,17:00,,19,05/04/2025
Squashathon One,v,Physical Chess 5,HK Squash Centre,17:00,,19,05/04/2025
HKIS Div 15,v,Hong Kong Cricket Club 8,HK Squash Centre,17:00,,19,05/04/2025
Sha Tin 7,v,[BYE],,,,19,05/04/2025
Physical Chess 5,v,HKIS Div 15,Cornwall Street Squash Centre,17:00,,20,12/04/2025
United Services Recreation Club 4,v,Squashathon One,United Services Recreation Club,17:00,,20,12/04/2025
Sha Tin 7,v,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,17:00,,20,12/04/2025
Hong Kong Cricket Club 8,v,[BYE],,,,20,12/04/2025
Physical Chess 5,v,HKIS Div 15,Cornwall Street Squash Centre,17:00,,21,26/04/2025
United Services Recreation Club 4,v,Squashathon One,United Services Recreation Club,17:00,,21,26/04/2025
Sha Tin 7,v,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,17:00,,21,26/04/2025
Hong Kong Cricket Club 8,v,[BYE],,,,21,26/04/2025
