Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
YLJR,0.0,66.66666666666667,66.66666666666667,33.33333333333334,33.33333333333334,40.000000000000014
TNGX,-25.0,-25.0,100.0,100.0,50.0,40.0
Hong Kong Cricket Club D4A,25.0,25.0,-8.333333333333329,33.33333333333333,100.0,35.0
The Squash Club 1,0.0,50.0,0.0,50.0,50.0,30.0
Hong Kong Cricket Club D4B,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,20.0
Kowloon Cricket Club 4,0.0,0.0,16.666666666666657,40.0,0.0,11.333333333333329
Hong Kong Football Club 4A,-33.33333333333333,0.0,-33.33333333333333,0.0,100.0,6.666666666666664
X-Alpha 2,25.0,-25.0,-25.0,-25.0,50.0,0.0
Hong Kong Football Club 4B,-25.0,0.0,25.0,0.0,-100.0,-20.0
Sha Tin 1,0.0,0.0,-100.0,-100.0,0.0,-40.0
