Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Cricket Club 8,3,1,2,10,9,6
Royal Hong Kong Yacht Club Div 15,2,2,0,9,7,3
Physical Chess 5,2,2,0,8,6,4
HKIS Div 15,3,1,2,8,7,8
Sha Tin 7,3,1,2,6,5,10
Squashathon One,2,1,1,6,5,5
United Services Recreation Club 4,3,1,2,5,6,9
