Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L1,3,3,0,11,8,1
Kowloon Cricket Club L1B,3,1,2,5,4,5
Kowloon Cricket Club L1A,2,1,1,4,3,3
Hong Kong Football Club L1,2,1,1,3,2,4
Hong Kong Cricket Club L1,2,0,2,1,1,5
