Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Ladies Recreation Club Div 8,3,3,0,14,11,4
Hong Kong Football Club 8,3,3,0,14,11,4
Physical Chess 3,3,3,0,13,10,5
Sha Tin 3,2,2,0,12,10,0
Striving Squash,3,1,2,7,6,9
TOMCAT,3,0,3,4,4,11
Squashathon Zero,2,0,2,4,4,6
i-Mask Advance Squash Club 2,3,0,3,4,4,11
Kinetic 2,2,0,2,0,0,10
