Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 6B,3,3,0,15,12,3
United Services Recreation Club 2,3,3,0,14,11,4
Kowloon Cricket Club 6A,3,2,1,13,11,4
Hong Kong Cricket Club 4,3,2,1,12,10,5
Hong Kong Football Club 6B,3,2,1,9,7,8
Hong Kong Football Club 6A,3,1,2,8,7,8
Friend Club 3,3,1,2,7,6,9
Social Squash Team,3,1,2,5,4,11
Hong Kong Football Club 6C,3,0,3,4,4,11
Global Squash 1,3,0,3,3,3,12
