Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,18,17,1,93,76,14,0,12,0,0
Hong Kong Football Club 6A,18,13,5,70,57,33,0,6,0,0
Uncles,18,12,6,69,57,33,0,2,0,0
Kowloon Cricket Club 6A,18,11,7,63,52,38,2,3,0,0
Hong Kong Football Club 6B,18,11,7,61,50,40,0,0,0,3
Hong Kong Football Club 6C,18,10,8,55,45,45,0,2,0,0
Ladies Recreation Club Div 6,18,7,11,46,39,51,7,6,0,0
Electrify Squash Div 6,18,8,10,44,39,51,9,3,3,0
Global Squash 1,18,5,13,43,38,52,0,2,0,2
Fusion Squash Club 1,18,7,11,37,33,57,20,0,3,0
Hong Kong Cricket Club D6,18,4,14,33,29,61,1,6,0,0
X-Alpha 3,18,3,15,26,25,65,3,0,2,3
