Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
i-Mask Advance Squash Club 6,16,12,4,59,47,33,5,11,0,0
i-Mask Advance Squash Club 7,16,10,6,57,47,33,2,15,0,0
JSA 1,16,9,7,53,44,36,23,10,0,2
Bravo D13,16,7,9,51,44,36,16,26,0,0
Smart Squash 2,16,8,8,48,43,37,3,17,3,0
HKIS Div 13,16,8,8,45,39,41,10,14,2,4
Vitality Squash 2,16,6,10,41,36,44,22,14,1,0
NEXUS 3,16,7,9,37,30,50,41,10,0,0
Smart Squash 3,16,5,11,35,30,50,10,15,0,0
