Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,18,16,2,93,77,13,0,1,0,0
Twister,18,14,4,78,64,26,0,0,0,0
Centre Squash,18,14,4,70,56,34,0,2,0,0
Hong Kong Football Club 9,18,12,6,70,58,32,0,10,0,0
i-Mask Advance Squash Club 3,18,11,7,59,48,42,1,1,0,0
The Hong Kong Jockey Club Div 9,18,8,10,44,36,54,7,0,0,0
Kowloon Cricket Club 9,18,6,12,39,33,57,5,0,0,0
HKPF Squash Team,18,3,15,35,32,58,7,7,0,0
Kinetic 3,18,5,13,33,28,62,0,0,0,0
BOSS,18,1,17,19,18,72,1,0,0,0
