Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 4,18,15,3,87,72,18,1,9,0,1
Royal Hong Kong Yacht Club Div 14,18,15,3,83,68,22,0,3,0,0
North District Sports Association 2,18,14,4,80,66,24,0,10,0,0
Physical Chess 5,18,12,6,70,58,32,0,10,0,0
TKO Junior 1,18,10,8,58,48,42,0,7,0,0
8 Virtues + 1,18,10,8,57,48,42,6,1,1,5
Hong Kong Football Club 14,18,9,9,49,40,50,19,1,0,1
RELAY 2,18,7,11,46,40,50,3,14,1,2
TNG 3,18,8,10,36,39,51,3,0,7,0
Ladies Recreation Club Div 14,18,4,14,32,29,61,4,4,1,1
Squash-On,18,4,14,30,26,64,18,1,0,1
Fusion Squash Club 4,18,0,18,5,6,84,7,1,1,0
