Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
YLJR,18,14,4,79,65,25,1,7,0,0
Kowloon Cricket Club 4,18,14,4,77,63,27,4,7,0,0
TNGX,18,12,6,74,62,28,0,7,0,0
Sha Tin 1,18,12,6,64,54,36,0,0,0,1
X-Alpha 2,18,11,7,64,53,37,6,2,0,0
Hong Kong Football Club 4B,17,8,9,46,38,47,3,0,0,0
Hong Kong Football Club 4A,18,7,11,41,35,55,2,0,1,0
The Squash Club 1,18,3,15,31,28,62,4,2,0,0
Hong Kong Cricket Club D4B,18,4,14,28,24,66,0,3,0,0
Hong Kong Cricket Club D4A,17,4,13,27,23,62,11,3,0,0
