Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,16,14,2,71,57,23,0,2,0,0
Hong Kong Football Club 7B,16,12,4,69,57,23,0,1,0,0
i-Mask Advance Squash Club 1,17,10,7,59,49,36,1,1,0,0
Hong Kong Football Club 7A,16,11,5,57,46,34,0,1,0,0
Hong Kong Cricket Club D7B,17,7,10,48,41,44,0,6,0,0
UST,16,9,7,47,41,39,1,1,3,0
Hong Kong Cricket Club D7A,16,7,9,44,37,43,1,2,0,4
Thunder 1,17,6,11,42,36,49,0,3,0,0
Social Squash Team,16,7,9,38,31,49,1,1,0,0
Xavier,16,6,10,38,32,48,13,0,0,0
Kinetic 1,17,1,16,23,23,62,2,1,1,0
